        vname                                                                     vdescription
172   disdeaf                                                         Deaf or hearing-impaired
173   dismute                                                                             Mute
174   disuppr                                           Disability affecting upper extremities
175   dismntl                                                                Mental disability
176   dispsyc                                                         Psychological disability
177    pernum                                                 Person number (within household)
178    relate                                                             Relationship to head
179   relate2                                                          Other relatives of head
180   nucleus                                                            Nuclear family number
181       sex                                                                              Sex
182       age                                                                     Age in years
183    socsec                                                         Social security benefits
184     marst                                                                   Marital status
185  diffhear                                                               Difficulty hearing
186   diffsee                                                                Difficulty seeing
187  diffwalk                                                               Difficulty walking
188  diffarms                                                   Difficulty using arms or hands
189 diffspeak                                                              Difficulty speaking
190 difflearn                                                              Difficulty learning
191     disab                                                                       Disability
192     indig                                                                 Indigenous group
193     black                                                   Black of African-descent group
194     black                                                   Black of African-descent group
195       bpl                                                     Country or district of birth
196     arrpa                                                      Period of arrival in Panama
197  prvcntry                                        Country or district of previous residence
198    school                                                                 Attending school
199   edattan                                                Highest level of education passed
200       lit                                                           Able to read and write
201    degree                                                                  Degree obtained
202    worked                                                                 Worked last week
203     abswk              Do you have a job from which you were temporarily absent last week?
204     wkpay                  Did you do any work for which you received any money last week?
205  wklookwk                                                        Looked for work last week
206  wklookmo                                                       Looked for work last month
207    whynot                                                  Reason for not looking for work
208       occ                                                             Occupation, 3 digits
209       ind                                                      Economic activity, 4 digits
210  contract                                                                    Contract type
211  incbonus                           Income from thirteen month bonus in Panamanian balboas
212    incind             Income for independent work of self-employment in Panamanian balboas
213    incret                          Income from retirement or pension in Panamanian balboas
214    incacc        Income from pension due to accident, sickness, etc. in Panamanian balboas
215  incfoodp                                 Income from food allowance in Panamanian balboas
216   incasst                                Income from cash assistance in Panamanian balboas
217   incotha                    Income from other sources of assistance in Panamanian balboas
218   asstoth                                       Description of other sources of assistance
219   incrent             Income from rent, returns on investments, etc. in Panamanian balboas
220    incsch                                   Income from scholarships in Panamanian balboas
221     incag        Income from sale of agricultural goods or livestock in Panamanian balboas
222    incoth                                               Other income in Panamanian balboas
223    incyes                                                                       Has income
224    chborn                                                    Number of children born alive
225    chlive                                               Number of children currently alive
226  chbornyr                                             Child born during the last 12 months
227  chliveyr                      Is the child born during the last 12 month currently alive?
228      incp                                                             Income of the person
229     bplrc                                            Country or district of birth, recoded
230  resdisrc                                         District of permanent residence, recoded
231  prvdisrc                                Country or district of previous residence recoded
