        vname                                                                 vdescription
158   qreligs                                                  Flag for religion, Scotland
159   qrelign                                          Flag for religion, Northern Ireland
160   qrelate                          Flag for relationship to household reference person
161      qsex                                                                 Flag for sex
162     qocc3                     Flag for standard occupational classification 2000-minor
163  qstudent                       Flag for schoolchild or student in full-time education
164     qboss                                                  Flag for supervisor/foreman
165 qresstud1                     Flag for term time address of students or schoolchildren
166   qwktran              Flag for transport to work, UK (including to study in Scotland)
167   qwelshr                                                 Flag for whether reads Welsh
168   qwelshs                                                Flag for whether speaks Welsh
169   qwelshu                                           Flag for whether understands Welsh
170   qwelshw                                                Flag for whether writes Welsh
171   qwksize                                                   Flag for size of workforce
172  qwrkplac                                                           Flag for workplace
173   qmigind                                                 Flag for migration indicator
