       vname                                                         vdescription
181 qwrkhere         Flag for place of work same as sub-place where usually lives
182 qwrkprov                                            Flag for province of work
183 qwrkplac                                          Flag for main place of work
184  qchborn                                                Flag for total births
185 qbornmal                                                 Flag for male births
186 qbornfem                                               Flag for female births
187  qchsurv                                 Flag for total children still living
188 qsurvmal                                  Flag for male children still living
189 qsurvfem                                Flag for female children still living
190  qlstday                                    Flag for date of last birth - day
191   qlstmo                                  Flag for date of last birth - month
192   qlstyr                                   Flag for date of last birth - year
193  qlstsex                                      Flag for sex of last child born
194  qlstliv                                      Flag for last child still alive
195 qtravwrk                  Flag for method of transportation to school or work
196  qincome                                             Flag for income (annual)
