       vname                                                      vdescription
188 qdeadmal                                      Flag: Male children deceased
189 qdeadfem                                    Flag: Female children deceased
190  qbirths                                   Flag: Any births last 12 months
191 qbirthsm                                   Flag: Males born last 12 months
192 qbirthsf                                 Flag: Females born last 12 months
193 qlivbthm                           Flag: Males born last 12 months (alive)
194 qlivbthf                         Flag: Females born last 12 months (alive)
195    perwt                                                     Person weight
196   chhome                                      Children living in household
197   chaway                                         Children living elsewhere
198   chdead                                            Children who have died
199   chborn                                                Children ever born
200   chsurv                                                Children surviving
201  chsurvm                                           Male children surviving
202  chsurvf                                         Female children surviving
203 bthlstyr                                           Children born last year
204 srvlstyr                                 Children born last year surviving
205  parlive                                          Parents mortality status
