       vname                                                                     vdescription
157   limoth                                               Other type of permanent limitation
158   limper                                                   Principal permanent limitation
159  limperc                                                    Cause of permanent limitation
160      lit                                                      Knows how to read and write
161    books                                Number of books that he/she read in the past year
162      sch                       Current attendance at some type of educational institution
163   schpub                                                Currently attends a public school
164   schcom                       Reason for not attending school: completed his/her studies
165   schcos                         Reason for not attending school: high costs of education
166   schwor                                    Reason for not attending school: need to work
167   schspa                        Reason for not attending school: lack of enrollment space
168   schdis         Reason for not attending school: distance from educational establishment
169   schill                                         Reason for not attending school: illness
170   schpre                                       Reason for not attending school: pregnancy
171   schoth                                           Reason for not attending school: other
172   schloc                                              Location of educational institution
173  schlocd                                            Department of educational institution
174    edlev                                                       Level of studies completed
175    grade                                                                  Grade completed
176  edattan                                            Level of studies and grades completed
177 edattan1                                          Level of studies and grades completed 1
178       pc                                                                     Computer use
179      pcw                                                              Used a PC last week
180    pcown                                      Used a PC last week to do his/her own tasks
181    pctra                                         Used a PC last week to make transactions
182    pcent                                            Used a PC last week for entertainment
183    pccom                                               Used a PC last week to communicate
184    pcoth                                         Used a PC last week for other activities
185      ind                                                               Industry (2-digit)
186  classwk                                                                     Type of work
187   wklocp                                            Location of place where he/she worked
188   wklocd                                                   Department where he/she worked
189  pension                                                    Affiliation to a pension fund
190    wkfam                                     Worked complementarily for a family business
191    wksal               Worked complementarily for sale of products on his/her own account
192    wkman                       Worked complementarily for manufacture of products to sell
193    wkani                          Worked complementarily in the fields or animal breeding
194    wkcho                                      Worked complementarily for household chores
195    wkoth                                Worked complementarily for other type of activity
196    marst                                                                   Marital status
197   langsp                                                                   Speaks Spanish
198   langen                                                                   Speaks English
199   langfr                                                                    Speaks French
200   langit                                                                   Speaks Italian
201   langge                                                                    Speaks German
202   langot                                                          Speaks another language
203  chborny                                                          Had children born alive
204   chborn                                                    Number of children born alive
205  chbornm                                                        Number of boys born alive
206  chbornf                                                     Number of females born alive
207   chsurv                                               Number of children currently alive
208  chsurvm                                                  Number of males currently alive
209  chsurvf                                                Number of females currently alive
210  chsurvk                            Know whether she has children who are currently alive
211  lastkyr                                               Year the last child was born alive
212  lastkmo                                              Month the last child was born alive
213   firkyr                                         Year that the first child was born alive
214   wtperb                                                    Basic person expansion factor
215   wtperc                                               Calibrated person expansion factor
