       vname                                                                     vdescription
171   hrpdlw Any activity done for at least one hour for which received payment or profit pas
172   unpdlw                    Helped a relative or a non-relative without payment or profit
173 activity                                              Main activity of person not in work
174  canwork                                          Available for work during previous week
175      occ                                                                       Occupation
176  classwk                                                              Professional status
177      ind                                                        Main activity of business
178    marst                                                                   Marital status
179  chbornf                                                        Female children ever born
180  chbornm                                                          Male children ever born
181  nobirth                                                                   No live births
182  chsurvf                                                        Female children surviving
183  chsurvm                                                          Male children surviving
184 nochsurv                                                            No children surviving
185    lchmo                                          Month of birth of last child born alive
186    lchyr                                           Year of birth of last child born alive
187   lcsurv                                                      Survival of last child born
188  lchaged                                                  Age at death of last child born
189   age5yr                                                             Five-year age groups
190  age5alt                                       Five-year age groups (0 is a unique group)
191    age10                                                                      Age deciles
192   agegrp                                                                 Large age groups
193 yrstudyc                                                        Calculated years of study
194    field                                                         Field of study, 3 digits
195     occ1                                                              Occupation, 1 digit
196     ind1                                                                Industry, 1 digit
197  empstat                                                  Economic activity of individual
198   chborn                                                               Children ever born
199   chsurv                                                               Children surviving
200  univfld                                                         Field of study, 2 digits
